"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"CYSC","SHERBROOKE, QC","CAN","20-01-21","""2020-01-21T01:00:00.000Z""","CYSC 210100Z AUTO /////KT M15/M19 A3026 RMK WND MISG CLD MISG WX MISG VIS MISG PCPN MISG ICG MISG SLP272 20-01-21",0,0,0,0,0,0,45.43848055555555,-71.69135277777778
"FAGM","RAND","ZAF","20-01-21","""2020-01-21T05:00:00.000Z""","FAGM 210500Z 23006KT 7000 OVC006 16/14 Q1025 20-01-21",0,0,0,0,0,0,-26.24197777777778,28.151355555555554
"RJSH","HACHINOHE","JPN","20-01-21","""2020-01-21T05:49:00.000Z""","RJSH 210549Z 29014KT 250V320 5000 -SHSN FEW010 SCT020 BKN035 M01/M04 Q1020 RMK 1ST010 3CU020 5CU035 A3012 20-01-21",0,0,10,10,0,0,40.551944444444445,141.46722222222223
"GMAG","GUELMIME","MAR","20-01-21","""2020-01-21T07:54:00.000Z""","GMAG 210754Z 00000KT 3000 BR BKN006 09/08 Q1013 NOSIG M3 20-01-21",0,0,0,0,0,1,29.016944444444444,-10.061388888888889
"FNBG","BENGUELA/17 DE SETEMBRO","AGO","20-01-21","""2020-01-21T08:00:00.000Z""","FNBG 210800Z 00000KT 9999 FEW015 BKN100 29/23 Q1013 20-01-21",0,0,0,0,0,0,-12.61,13.403611111111111
"SAOU","SAN LUIS/BRIG. MY D. CESAR RAUL OJEDA (SL)","ARG","20-01-21","""2020-01-21T08:40:00.000Z""","SAOU 210840Z 29003KT 0500 FG VV/// 20/18 Q1013 20-01-21",0,0,0,0,0,0,-33.27222222222222,-66.35666666666665
"KHBG","HATTIESBURG BOBBY L CHAIN MUNI","USA","20-01-21","""2020-01-21T12:53:00.000Z""","KHBG 211253Z AUTO 36006KT 10SM CLR M02/M06 A3054 RMK AO2 SLP343 T10221061 20-01-21",0,0,0,0,0,0,31.264944444444446,-89.25288888888889
"PASA","SAVOONGA","USA","20-01-21","""2020-01-21T13:56:00.000Z""","PASA 211356Z AUTO 08016KT 9SM UP OVC007 M07/M08 A2937 RMK AO2 UPB11E26B55SNB02E11B46E55 SLP946 P0000 T10721083 FZRANO 20-01-21",0,2,3.3,2.5,0,0,63.686277777777775,-170.49316666666667
"FABM","BETHLEHEM","ZAF","20-01-21","""2020-01-21T14:20:00.000Z""","FABM 211420Z 26009KT 9999 TS SCT025 FEW045CB 24/11 Q1019 20-01-21",0,0,0,0,8,0,-28.248611111111114,28.33611111111111
"SADP","EL PALOMAR (BA)","ARG","20-01-21","""2020-01-21T17:18:00.000Z""","SADP 211718Z 18004KT 8000 -RA SCT045 OVC050 26/21 Q1011 20-01-21",0,0,0,0,0,0,-34.60991666666667,-58.612611111111114
"SBML","MARILIA/MARILIA,SP","BRA","20-01-21","""2020-01-21T19:00:00.000Z""","SBML 211900Z 18010KT 9999 BKN030 30/21 Q1008 20-01-21",0,0,0,0,0,0,-22.195555555555554,-49.926944444444445
"LTBL","IZMIR/CIGLI (MIL)","TUR","20-01-21","""2020-01-21T20:24:00.000Z""","LTBL 212024Z 04010KT 010V070 CAVOK 04/M02 Q1034 NOSIG RMK RWY17 03011KT 20-01-21",0,0,0,0,0,0,38.526666666666664,27.01
"PATG","TOGIAK","USA","20-01-21","""2020-01-21T21:15:00.000Z""","PATG 212115Z 35005KT 5SM -SN BR BKN034 OVC031 M13/M14 A2960 RMK AUTO NO SPECI 20-01-21",0,0,6.7,7.5,0,0,59.053555555555555,-160.39677777777777
"RJOE","AKENO","JPN","20-01-21","""2020-01-21T21:38:00.000Z""","RJOE 212138Z 24003KT 9999 FEW020 BKN180 00/M03 Q1030 RMK 1CU020 5AC180 A3041 20-01-21",0,0,0,0,0,0,34.53333333333333,136.67222222222222
"PTSA","KOSRAE,KOSRAE ISLAND","FSM","20-01-21","""2020-01-21T22:50:00.000Z""","PTSA 212250Z 23008KT 10SM SCT019 BKN300 30/26 A2987 20-01-21",0,0,0,0,0,0,5.356972222222222,162.9583888888889
"CYXQ","BEAVER CREEK, YT","CAN","20-01-21","""2020-01-21T23:00:00.000Z""","CYXQ 212300Z 05002KT 30SM FEW025 FEW090 BKN160 M28/M31 A2943 RMK SC1AC2AC4 SC TR LAST STFD OBS/NXT 221700Z/ SLP052 20-01-21",0,0,0,0,0,0,62.410158333333335,-140.8687638888889
"CYZW","TESLIN, YT","CAN","20-01-22","""2020-01-22T01:00:00.000Z""","CYZW 220100Z 26002KT 1 1/4SM -SN OVC025 M14/M15 A2939 RMK SN3SC5 LAST STFD OBS/NXT 221700Z SLP022 20-01-22",0,0,6.7,7.5,0,0,60.17307222222222,-132.74172222222222
